path,filename,class
"/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET).md","One-Step Diffusion Distillation via Deep Equilibrium Models (Generative Equilibrium Transformer, GET)",5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Set Transformer- A Framework for Attention-based Permutation-Invariant Neural Networks.md,Set Transformer- A Framework for Attention-based Permutation-Invariant Neural Networks,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Approximately Optimal Approximate Reinforcement Learning.md,Approximately Optimal Approximate Reinforcement Learning,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Technical Note- Q-learning.md,Technical Note- Q-learning,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Learning to Predict by the Methods of Temporal Differences.md,Learning to Predict by the Methods of Temporal Differences,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D).md,Zero-Shot 4D LiDAR Panoptic Segmentation (SAL-4D),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Keeping Neural Networks Simple by Minimizing the Description Length of the Weights.md,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Natural Actor-Critic.md,Natural Actor-Critic,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Dropout- A Simple Way to Prevent Neural Networks from Overfitting.md,Dropout- A Simple Way to Prevent Neural Networks from Overfitting,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Open3DIS- Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance.md,Open3DIS- Open-Vocabulary 3D Instance Segmentation with 2D Mask Guidance,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Agent57- Outperforming the Atari Human Benchmark.md,Agent57- Outperforming the Atari Human Benchmark,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE).md,Simple Statistical Gradient-Following Algorithms for Connectionist Reinforcement Learning (REINFORCE),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Megatron-LM- Training Multi-Billion Parameter Language Models Using Model Parallelism.md,Megatron-LM- Training Multi-Billion Parameter Language Models Using Model Parallelism,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Simultaneous Instance Pooling & Bag Selection for MIL using ViTs.md,Simultaneous Instance Pooling & Bag Selection for MIL using ViTs,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Learning Modular Exponentiation with Transformers.md,Learning Modular Exponentiation with Transformers,5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill).md,Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill),5
/home/jake/Developer/timeline/ARCHIVE/BIBLIOTHEQUE-V1/05 - ML Foundations & Principles/Variational Lossy Autoencoder.md,Variational Lossy Autoencoder,5
